電影名稱,類型,評分,電影海報,年分,簡介,國家/地區,評論1,評論2,評論3,評論4,評論5
断箭 ,动作、惊悚、犯罪,7.3,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2372798569.jpg,02/09/1996,飞行员迪克斯（约翰•特拉沃塔 John Travolta 饰）和希尔上教（克里斯汀•史莱特 Christian Slater 饰）搭档多年，虽然表现出色，但一直没有获得晋升。心中不服气的迪克斯决定用自己的手段向政府讨回他应得的一切。于是，在一次飞行任务中，迪克斯为了劫持隐形飞机上的两枚核弹，将希尔打出了机舱，幸亏希尔携带有降落伞，才幸免于难。迪克斯取得核弹后，向政府要挟巨额赎金，不然就将在城市中引爆核弹。另一方面，希尔和美丽女警泰丽（萨曼莎•玛西丝 Samantha Mathis 饰）正在极力追寻迪克斯，抢回核弹！,美国,Hill问Dick，你绑架核弹能得到什么，Dick回答：我的经纪人帮我买了5%的VOLVO股份，光红利够我吃一辈子了。 现在想想觉得有点娱乐精神，Dick估计没想到在2010年，VOLVO易主吉利汽车，被一个中国农民企业家李书福给收购了。,星运沉浮有时与政治气候变迁密切相关。约翰屈伏塔。70年代末，周末狂热和油脂席卷全球。等里根上台，铁血硬汉吃香，屈服了几乎整个八零年代。转入九零，苏联解体，冷战结束，很快就借昆汀再度崛起，之后更与吴宇森的浪漫暴力美学高度契合。变脸造就片酬1500万。但新世纪伊始，911！……完。说明，不同意识形态主导下的好莱坞，需要不同类型的主流电影，而这也就意味着需要对导演和演员进行选择性侧重和筛选。,吴宇森在好莱坞的第二部电影，第一部的《终极标靶》吴宇森并没有主使权，所以这部《断箭》才是吴宇森在好莱坞真正意义上的处女作。动作场面很激烈，场面很火爆，可惜剧情偏弱。,后半截编剧明显放水了 配角智商也太低了 死的简直匪夷所思 整体还算精彩吧 看大片就不要求那么多了。。,Christian Slater难得那么帅气啊...
巡弋悍将 ,动作、犯罪,6.1,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2327947600.jpg,11/06/1992,安保专家卡特（韦斯利•斯奈普斯 Wesley Snipes 饰）在阻止一次超市抢劫案时，因为处理失误导致妻子身亡，自感愧疚的卡特状态低沉。好友试图帮助他重新振作，推荐卡特担任航空公司安保教师一职，卡特乘坐航班前往洛杉矶公干。在同一班客机上，著名恐怖分子查尔斯•雷恩（布鲁斯·佩恩 Bruce Payne 饰）也在FBI的押解下前往加州受审。穷凶极恶的雷恩早已在空乘人员内部安插了自己的手下，一班匪徒在飞机起飞不久即控制了飞机，孤立无援的卡特放掉了燃油迫使飞机降落在一处小型机场，当地警方在FBI到来前试图控制局势，卡特反被他们误认为是恐怖分子一伙，他如何凭借一己之力力挽狂澜，拯救机上百多人的生命？,美国,"典型的美国英雄主义影片，情节比较紧凑，主角的打斗融合了中国功夫的元素。但情节嘛，就那么回事儿，个人英雄主义，最终还不忘抱得美人归。

看个热闹还可以。

片中饰演恐怖分子的那个人还真挺恐怖的，尤其是眼神。",女主角居然是Michael Jackson/片子里说以色列航空没被劫持过，实际上被劫持过一次,不错的片子，值得收藏和怀念的片子！,6，90年代黑人第一打星拍的一部非常无趣的爆米花片，一号坏角还长的很像肯尼G，所以原声里面才有这么多萨克斯么,"刚在电影频道看了开头一点，感觉还不错。20100528-154543.
92年的片子，现在看来中规中矩，80分钟剧情紧凑。反女一 伊丽莎白·赫利，真是勾魂夺魄的笑容~。女主Alex Datcher，果然跟迈克杰克逊一个模子的脸型。最后关头，男一号踢反一号的裤裆踢的很爽啊-囧-"
双子杀手 ,剧情、动作、科幻,6.8,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2554402180.jpg,10/18/2019,"效力于美国国防情报局的特工亨利·布罗根（威尔·史密斯 Will Smith 饰）是一名顶尖狙击手，在他的职业生涯中，曾奉命扫除许多威胁国家安全的恐怖分子。执行任务时的他下手果断，毫不迟疑。可是最后一次任务险些失手，却让他产生了动摇，进而提出解甲归田。怎奈放下屠刀的他，偶 然听到了一个有关国家机密的大事，随即便招来杀人之祸。在躲过政府第一次围剿之后，他偕同因监视自己而意外被卷入其中的女特工丹妮（玛丽·伊丽莎白·温斯特德 Mary Elizabeth Winstead 饰）展开逃亡，投奔昔日战友巴伦（本尼迪克特·王 Benedict Wong 饰）。
                                    
                                　　未曾想新的杀手阴魂不散，尾随而至。更令亨利惊讶的是，追杀他的竟是年轻了23岁的另一个自己……",美国 / 中国大陆,四星半。《双子杀手》昨天国际评分开分，不是太理想，但我坚持自己对于李安的判断：这部电影的最重要看点，并不在于拍了什么故事，而在于用什么样的方法/技术手段去讲故事。这是关心故事和奇观的观众，通常会忽视的切入点，他们不晓得，安叔要做的，以及怀揣的雄心，其实是要重生一种新的电影语言概念——它可以放置于各种传统商业类型当中，正如《比利林恩中场战事》《双子杀手》和未来的《马尼拉之战》中，并配合道道地地的李安作者风格，比如对父子关系的一贯探索。讲真，想到一种面向未来的电影语言可能由我们华人开创，我是激动的——戈达尔说，电影始于格里菲斯，终结于阿巴斯。安叔要做的，就是当21世纪的格里菲斯。,热评里那一大段五星好评看的我都脸红 安叔这次确实是失手了 如果说比利林恩算讲了个好故事 那双子杀手真的不及格 剧情老套 动作场面算流畅 但是文戏太糟糕靠动作戏也补不回来了 希望早日回归华语电影 太想看到安叔拍华语电影了,哇靠这个炫技，真假史密斯的打架CG都不说了，这是一部三分之二的时间里都是弱光场景的3D电影，它不仅有120帧、甚至还有慢镜头的120帧（但整个荷兰也没有一块4K 120帧银幕，我看的只是2K 60帧。有些场景十分惊艳，例如大范围的海水、此刻尽丝滑的高速动作戏乃至摩托车上的第一人称视角镜头，令人感叹科技真的拓展了影像语言的可能性。只是这种新颖的表达的效果还十分有限，剧本和台词与其说是意料之中的烂（父子关系的内核还行），倒更有可能是对技术野心做出的妥协吧。,父子伦理与时间年轮的点水探讨是习惯性策略表达，类型元素是骨骼支撑，几场动作戏继续“比利·林恩”中例如演唱会段落、战争段落等用以测试探索全新视觉革新下的场面调度、画面美学和空间运动的重置标准，是真正起点，好比那只蜜蜂，服务于主角体质制造戏剧功能倒是其次，更多的作用其实等同于比利·林恩回家后房间中的那只苍蝇。各种更加丰富的多焦点长纵深置景，光线、建筑、植被、灰尘、枪火、影子、水波都开始参与对故事情节注意力的分散抢夺，甚至表演面孔都被减龄与高帧技术多元拆解细化。九十年代的美国动作片刚刚脱离B级制作的粗糙和平面，追求更加极致丰满的全球化视角下的视听造戏，且还未被新世纪流行起来的高速剪辑摧毁流畅持续运动与充分环境感知，李安以此为材料切入，不止锤炼锻造未来前沿，挽救曾经大众影像的真切流动，更是重中之重。,明明是和自己的克隆人对话，但却处处都像是在跟自己的儿子对话。更深一层是，李安打通了故事层面和技术层面的“创造”。影片开头的高速火车狙击戏，威尔史密斯要在高速运动的无数窗户中射击某一个窗户，这就是李安自己面对每秒120帧的任务。故事中的人创造了克隆人，恐惧克隆人，接受克隆人，与此同时李安也在面对电影行业的“克隆人”。
安娜 ,动作、惊悚,7.8,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2553320254.jpg,06/19/2019,"20世纪80年代末，苏联情报机构克格勃迎来了新一任掌门人瓦西列夫（艾力克·高敦 Eric Godon 饰）。随着他的上任，克格勃和美国中央情报局CIA的谍战平衡被打破，诸多潜伏苏联的CIA探员被捕，局势分外紧张。在此大环境下，军人后代安娜（萨莎·露丝 Sasha Luss 饰）却过着颓废堕落的生活。当处于人生最低点时，她被招募进了克格勃。凭借出众的外貌以及卓越的领悟力，安娜很快成为一名出色干练的特工。此后的岁月里，她如同一台无情的杀人机器，按照组织的命令处决了一个又一个目标。但是在安娜的内心最深处，她时刻渴望重新获得自由。
                                    
                                　　遗憾的是瓦西列夫决不允许有任何一名克格勃活着退出组织，在绝望之际，安娜的命运走到了十字路口……",法国 / 美国 / 加拿大 / 俄罗斯,不要有期待，忽略那些低级bug，享受超模。,是我向往的感情生活。,同样的KGB背景下，这才是红雀该有的样子——冷漠、美颜、克制，九头身女特工不需要演技爆发，不需要太多情感流露。凯伦米勒和墨菲锤哥还弥补不了演技缺口的话，如何体现女主的弱小无助楚楚可怜又暗地自成一派的刚强呢。该享受美好肉体的时候你在讨论演技，我觉得这在亵渎我的视觉功能。,俄罗斯大长腿版尼基塔，真超模带您领略正版红雀风采（此处无diss大表姐）。男配撸哥和墨菲都是我菜，女爵一如既往优秀所以看得还挺开心。我只有一个问题。90年的手机？笔记本电脑？贴身剪裁西装？？？这是平行世界831的90年？？,吕克·贝松估计是看了“红雀”后被大表姐的身材恶到了，才会找个美艳冰霜逆天长腿的名模来把红色间谍的故事再拍一遍。前3/4静静看你扯淡，最后1/4反转才真的好玩。基本上这个故事就是：没有什么能够阻挡，老娘我对自由的向往啊啊啊~~~~~
鬼影特攻：以暴制暴 ,动作、惊悚,6.4,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2574329643.jpg,12/13/2019,来自世界各地的六人，个个都是各自领域的佼佼者。他们之所以被选中，不单是因为能力出众，还在于其独特的志向：他们想抹杀自己的过去以改变未来。一位神秘的领袖（瑞恩·雷诺兹饰）将他们召集到一起组成了这个团队，他毕生唯一的使命就是确保即使他和自己的同伴会被遗忘，但也要让人们永远铭记他们所做的一切。,美国,罗马街头赛车，大厦泳池瀑布，手雷极限跑酷，游艇磁铁吸盘，所以原谅我打的高分，因为我很长时间没看过像样的动作片了。烟火，爆炸，骚话，恶趣味，经典麦考贝元素。所以说老贝还是别再开发变形金刚了，PG13根本体现不出他脑子里的奇思妙想，分级一放开他什么花样都能给你玩出来。,卖拷贝：害…行活儿行活儿，什么叫国际大片啊！说罢便战术后仰有点儿膨胀。然而瑞恩·雷诺兹这么些年了，其实一直都在演“死侍”。,不考虑售后 零配件周期逆天，买罗密欧的中国车主才是真的壕,我觉得这片子的分数低了，虽然剧情充满了一副雅各宾派加精英寡头的理想主义色彩，但就这动作片本身，还是挺好看的，不要对这种片子的内涵要求太多，不带脑子看个爽我觉得就挺好的。,本以为看个爽就行了，谁知道能乱成这样，这不能让人爽，这让人烦！（强行插入007梗也毫无意思）
蜘蛛侠：英雄远征 ,动作、科幻、冒险,7.6,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2558293106.jpg,06/28/2019,"在与灭霸史诗般的战争结束后，地球似乎暂时回归和平。皮特（汤姆·赫兰德 Tom Holland 饰）回到了校园生活之中，他和好友相谈甚欢，并且有了心仪的女孩，然而内心最深处依然放不下对钢铁侠的追悼缅怀。去往欧洲游学的路上，皮特试图找机会和个性女孩米歇尔（赞达亚 Zendaya 饰）表白，谁知接连出现的元素怪兽打乱了他的表白计划。在这一过程中，与神盾局合作的神秘客（杰克·吉伦哈尔 Jake Gyllenhaal 饰）挺身而出，击退怪兽。自感不堪大任的皮特谢绝了尼克·弗瑞（塞缪尔·杰克逊 Samuel L. Jackson 饰），情愿将钢铁侠继承者的重任交到神秘客手中。
                                    
                                　　令他意想不到的是，更可怕的危机接二连三袭来……",美国,当看到前30分钟的时候，我猜测这部应该没啥看点又要学上一部归来讲小屁孩欧洲旅游顺便谈恋爱最后一把鸡汤责任越大能力越大的那点破事，结果剧情就成功反转奥创纪元2.0。当看了电影前58分钟我还在怀疑Marvel 这部电影编剧强行划水，从环太平洋搬来几个怪兽模型搞个烂怂反派拍续集，然后被编剧狠狠打了脸。当看到电影提到神秘客说称自己是来自平行宇宙的超级英雄时，我还在思考会不会是为下一部新solo客串加铺垫时候，然后编剧狠狠嘲讽了平行世界脑洞。最后彩蛋，当出字幕时思考为啥尼克之前说过不要再提惊奇队长的话是什么意思时候，彩蛋解释原来是斯克鲁人。非常精彩的多次反套路出牌，Marvel 再次用这部电影证明了自己在把控故事结构和气氛高潮到了炉火纯青的境界，同期上映的那部福克斯的简直就是丢死人了！,整部电影都是局长欺压童工和外星务工者再洗白的实锤，超级英雄这一身份给纽约好邻居的责任和烦恼比蛛丝粘得更紧，总而言之是有突破有传承的续集，小蜘蛛犯了每个青少年都会犯的错：轻信于人和恋爱脑，但他也只是一个失去五年时光，失去人生导师钢铁侠，渴望真爱和友谊的孩子，免不了被老吉这个极具迷惑性和深度的反派敲打一番，号角日报老板回归辽，蜘蛛侠宇宙终于联动了，抱住索尼大法暴风哭泣，致敬三巨头cue到了惊队奇异博士，塔罗斯可可爱爱PS特效服不防弹，老吉你记住了吗？橙色军团：打扰了，荷兰弟去荷兰这个梗真的不是故意的吗？,知道小虫为什么把AC/DC说成齐柏林飞艇吗？因为荷兰弟是英国人！,这部不如叫《蜘蛛侠：无家可归》如何？开场I will always love you受到一万点暴击，杀伤力堪比三千遍。无处不在的铁人粑粑，每隔几分钟就要被捅刀。小虫在飞机上红着眼眶说我想他了，简直让人心碎。我也想他！做蜘蛛战衣的那个神态动作，一个恍惚仿佛看到了08年的钢铁侠，还有AC/DC的Back in Black，天，漫威是魔鬼，专往粉丝心上插刀。还有在伦敦桥上拎着反应堆做的锤子，举着路牌，一次性致敬三巨头。小朋友最终还是要长大面对这个世界的恶意。小虫真是全世界最善良可爱的崽了55555,荷兰弟很好，但是最终超级英雄还沦为卖情怀的赚钱工具
疾速追杀3 ,动作、惊悚、犯罪,7.9,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2551393832.jpg,05/17/2019,约翰·威克经历了前两次的追杀、特攻之后，由于执意破坏酒店规矩，因而遭到悬赏通缉，全球杀手闻风而至、一路追杀。这次他又将如何杀出重围，终结这场逃亡之旅。,美国,"年纪还是大了。当基努叔说出那句自己在黑客帝国里的经典台词""Guns. Lots of guns""的时候，影院里除了我，几乎没人有反应",看的点映。这不成喜剧片了么？//墨菲斯终于又见到了尼奥！🥰🥰🥰,"John Wick化身李寻欢使用刀的时候还是很有创意很飚肾上腺素的,其他的打斗已经审美疲劳了; 日本迷弟是有政治隐喻的吧, 尤其对狗狗说sit stay的那一段,不得不让人多想,连动作片都有政治隐喻了......",剧情越来越蠢，打架越来越好看，这一集动刀子比例大了很多,全年最精彩动作片，最值得一看的动作系列片，John Wick的宇宙世界。啊我爱基努里维斯
终结者：黑暗命运 ,动作、科幻、冒险,6.8,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2571762536.jpg,11/01/2019,《终结者2：审判日》发生的27年后，由于未来天网派来T-800成功杀死年幼的约翰，以致令未来产生变化，一个全新进化的液态金属终结者从未来派出，目的是追杀持有关键讯息的丹妮·拉莫斯、半生化人葛蕾丝和她的朋友。这使莎拉·康纳以及成功杀死约翰的T800终结者前来帮助她们一行人，以共同为了人类的未来而战。,美国 / 西班牙 / 匈牙利,这是一个讲述富士康工厂的流水线小妹，由于机械自动化，不幸下岗，而带领全人类反抗现代文明的故事。,女性救世主还是墨西哥裔，政治正确做足了，然而剧本照抄终结者2从头到尾不走心。“我不会再回来了”——希望州长说到做到…,这反派差点给我看睡了，翻来覆去就那套路,收割情怀的用意太过明显，但我认了，小时候录像带里的终结者那简直就是天外飞仙啊！,如果你是《终结者》粉丝，除非你认为系列中止在《终结者2》“阳光结局”已足够完美，否则《黑暗命运》就是继续下去的最佳选择，它是你期待多年的《真.终结者3》。本作单是秉承一二两部场面逐步升级并用无喘息追杀造成强压迫感就完胜《终结者3》《终结者2018》《终结者创世纪》了。虽否定以上三部续集，却保留延伸部分创意，集大成于一身，比如Rev-9分明是嘲笑当年T-X“皮骨不能分离”的弱点而做的升级，格蕾斯的赛博格强化人设定像“2018”的马库斯，老年T-800延续“创世纪”的做法等等...从1984年的冷酷杀人机器到1991年有温度的机器人，再到2019年更像人的机器人，完成对T-800的三部诠释后“I won’t be back”是意料中的必然，谢幕之作戏份也不多挺遗憾的。
第一滴血5：最后的血 ,动作、惊悚、冒险,7.6,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2564519086.jpg,09/18/2019,西尔维斯特·史泰龙回归[第一滴血5]，并有望执导。除主演外，据悉史泰龙将操刀剧本，故事围绕兰博为营救朋友之女与墨西哥毒枭展开殊死搏斗展开。制片艾威·勒纳([敢死队]系列)。该系列首部于1982年上映，2008年史泰龙曾自导自演[第一滴血4]。[第一滴血5]将在本届戛纳电影节预售，9月开拍。,美国 / 西班牙 / 保加利亚,2019最牛逼的电影，掏心掏肝的说，真牛逼,"兰博老矣，尚能饭否?

——能。","伟大的兰博，年轻时一个人干掉一支军队的汉子，最后一部电影和一群皮条客纠缠。英雄暮年，在家人的陪伴中暂时找回宁静，无奈注定漂泊一生，至此，再无家可归。
最后一分钟的闪回，就值得去电影院了，如果从致敬的角度出发。
女主还是带个脑子吧。
友情提示，血腥场面可能会引起不适。
电影本身三星，加一星为了年轻的兰博。",有了这部，兰博这个人才完整。,观于吉隆坡KLCC。在一个充斥着娘娘腔的当代中国，能看到这样一部电影实在是三生有幸。Rambo未老，还能再战！
猎魔人 第一季 ,动作、奇幻、冒险,7.5,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2574764569.jpg,12/20/2019,《猎魔人》改编自畅销的奇幻小说系列，讲述了一个关于命运和家庭的史诗故事。利维亚的杰洛特是一名独居的猎魔人，他努力在这个人类比野兽更邪恶的世界上寻得自己的一席之地。但命运将他推向一名强大的女术士和一位身上暗藏着危险秘密的年轻公主，他们三人必须学会共同在日益动荡的大陆中前行。,美国 / 波兰,网飞用实力告诉我hbo权游第一季有多么强悍,看完第一集，那道具是一眼看出是塑料做的，打仗跟闹着玩似的，对，黑社会对砍的那种，配乐流水线制作，毫无感情。看之前以为会是史诗巨制，看完才知道原来是开玩笑！,一群中世纪人讲着美国俚语…贵族们说“shit”、“fuck”这些词让人不适。,一觉醒来看到很多观众跟我的想法一样，松了一口气。还以为自己因为不懂游戏和原著失去了判断力。一半台词是废的，似乎剧情越是紧张越是捡没要紧的说，让人着急，对本来就蒙圈的路人尤其致命。第二集那个游吟诗人damn irritating。制作看上去钱很不够的样子，比《梅林传奇》都差。《梅林》好歹还有幽默感。本来以为可以看我亨，结果发现很难忽略其余难受的部分。听说第二集出现的那个有残疾的女孩是女主，会变成大美女。美女不美女的先不说，这个姑娘的性格很不讨喜啊。两集弃。过一阵子看我亨的混剪好了。三星都给我亨。,全剧颜值最高女角色竟是——杰洛特老母！！！
