country,title,year,genres,rate,picture
??,Passage de Venus,1874,Documentary|??,6.8,https://m.media-amazon.com/images/M/MV5BNjlkNmRlNDAtNTQ0NS00YzRjLTkxNWUtMTBlZDYwOTkzMGQ3XkEyXkFqcGdeQXVyMjM0MzAyNTU@._V1_FMjpg_UX1000_.jpg
??,Sallie Gardner at a Gallop,1878,Documentary|??,7.4,https://m.media-amazon.com/images/M/MV5BMjk0MzM1NDUtMTIyNi00Y2Y3LWEwNzEtMDQ1NmU4YzgzYWU2XkEyXkFqcGdeQXVyMjM3NTU0NTQ@._V1_FMjpg_UX1000_.jpg
??,Athlete Swinging a Pick,1880,Documentary|??,5.2,https://m.media-amazon.com/images/M/MV5BOTllYzdiYTEtNzFkZC00OTNmLThiZTctOTMwOTE3NjM1MTU0XkEyXkFqcGdeQXVyNzI1ODI4MDU@._V1_FMjpg_UX1000_.jpg
??,Buffalo Running,1883,Documentary|??,6.2,https://m.media-amazon.com/images/M/MV5BMTFkM2NlZGYtYjUzYS00ODhmLTkyNTctNGU5OTBlM2M4MGUyXkEyXkFqcGdeQXVyOTUzMjk0NDE@._V1_FMjpg_UX1000_.jpg
??,Man Walking Around a Corner,1887,Documentary|??,5.2,https://m.media-amazon.com/images/M/MV5BYTM3OWM5MzEtY2VkYS00YjliLWJkZTQtNGM3OGY2MGY2YTM4XkEyXkFqcGdeQXVyNDk0MDg4NDk@._V1_FMjpg_UX1000_.jpg
??,Accordion Player,1888,Documentary|??,5.5,https://m.media-amazon.com/images/M/MV5BZTdkMTBjZTctNjFiMy00ZWJmLTljMjctMGZkYmMyYzJkNGMyXkEyXkFqcGdeQXVyMjM0MzAyNTU@._V1_FMjpg_UX1000_.jpg
??,Traffic Crossing Leeds Bridge,1888,Documentary|??,6.6,https://m.media-amazon.com/images/M/MV5BYjZhZjA1MjEtMjdmMC00NzU5LTkyYWItNjQ0MzgyNGViMmJmXkEyXkFqcGdeQXVyNDExODQzNDA@._V1_FMjpg_UX1000_.jpg
??,Roundhay Garden Scene,1888,Documentary|??,7.3,https://m.media-amazon.com/images/M/MV5BOGE3YjczMTQtZTAwNi00Y2ZkLWIxZjYtZGFkMWY2ZTM3YTU5XkEyXkFqcGdeQXVyNzg5OTk2OA@@._V1_FMjpg_UX1000_.jpg
??,Pferd und Reiter Springen ?ber ein Hindernis,1888,??,5.7,https://m.media-amazon.com/images/M/MV5BYjc2MDk4NGItNjgyOC00MWY5LTk5NWYtYzA1YTkwMGVmOTMxL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNzg5OTk2OA@@._V1_FMjpg_UX1000_.jpg
??,"Monkeyshines, No. 1",1890,Documentary|??,4.9,https://m.media-amazon.com/images/M/MV5BZGE4OWI5NmEtYjRjNi00NTBjLThhMTItYmI1ZGY1YmFkZTY5XkEyXkFqcGdeQXVyNzg5OTk2OA@@._V1_FMjpg_UX1000_.jpg
??,"Monkeyshines, No. 2",1890,??,4.8,https://m.media-amazon.com/images/M/MV5BNjI1NGJjZDAtNGU3Mi00OTUzLTk3MDAtZGEzNzAwODg1N2IyXkEyXkFqcGdeQXVyNzg5OTk2OA@@._V1_FMjpg_UX1000_.jpg
??,London's Trafalgar Square,1890,Documentary|??,5.4,https://m.media-amazon.com/images/M/MV5BZjhlY2NhYTAtYzMyNi00YmQ5LThhNTYtZmUwY2IyMTA2NzRmXkEyXkFqcGdeQXVyNzg5OTk2OA@@._V1_FMjpg_UX1000_.jpg
??,"Monkeyshines, No. 3",1890,??,4.2,https://m.media-amazon.com/images/M/MV5BODhkYjY5YTItMGI3MS00MDhiLTk5YzMtN2Q5ZDE3OWRiMjc1L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNzg5OTk2OA@@._V1_FMjpg_UX1000_.jpg
??,Mosquinha,1890,??,6.5,https://m.media-amazon.com/images/M/MV5BNDY4MjFhNDAtMzM0MS00ZGVjLWFkZmYtMzFlMTQwYzk3ZTFlXkEyXkFqcGdeQXVyNjc2NjkzNTg@._V1_FMjpg_UX1000_.jpg
??,Dickson Greeting,1891,??,5.3,https://m.media-amazon.com/images/M/MV5BNTIwNjczYTgtYWM5OS00ZGFmLWJkM2YtYjJmNGY5Y2UxMGE2XkEyXkFqcGdeQXVyNDk0MDg4NDk@._V1_FMjpg_UX1000_.jpg
??,Newark Athlete,1891,Documentary|??,4.9,https://m.media-amazon.com/images/M/MV5BN2FkMTNmYzQtYjkyNS00YWJjLWFmMjQtMjlkMmJhNjEwZGQxL2ltYWdlXkEyXkFqcGdeQXVyNTc0NjY1ODk@._V1_FMjpg_UX1000_.jpg
??,Men Boxing,1891,Documentary|??|??,4.7,https://m.media-amazon.com/images/M/MV5BMGRhMGJmMTktZjkzMy00MTViLWI4MjQtNWQ0ODU5ODAxN2QzXkEyXkFqcGdeQXVyNzg5OTk2OA@@._V1_FMjpg_UX1000_.jpg
??,The Wave,1891,??,5,https://m.media-amazon.com/images/M/MV5BM2U0OTRlMjAtZTZmOC00NmYxLWJjN2UtNTlmODQ5NGVhMGE5XkEyXkFqcGdeQXVyNjc2NjkzNTg@._V1_FMjpg_UX1000_.jpg
??,Je vous aime,1891,??,5,https://m.media-amazon.com/images/M/MV5BYTNkYjg2MjctNjExYS00NGJlLWE2ZWYtN2E3NzlkNzYwNDhlXkEyXkFqcGdeQXVyNjc2NjkzNTg@._V1_FMjpg_UX1000_.jpg
??,Two Fencers,1891,??|Sport,4.9,https://m.media-amazon.com/images/M/MV5BMWQwNjdmOWUtZDEzOC00NDE3LWEzYjEtMzAyMGZhY2Q2ZDZiXkEyXkFqcGdeQXVyNjc2NjkzNTg@._V1_FMjpg_UX1000_.jpg
??,Pauvre Pierrot,1892,Animation|??|??,6.5,https://m.media-amazon.com/images/M/MV5BYWZiY2U3MjgtMzYzNS00OGUzLWI3OTQtNjkyMmZiZjEzNDc2XkEyXkFqcGdeQXVyOTUzMjk0NDE@._V1_FMjpg_UX1000_.jpg
??,A Hand Shake,1892,??,3.8,https://m.media-amazon.com/images/M/MV5BYTlhNGFjNWEtNmQxYi00MjA2LWI0NmEtMzVkMDM4ZmZmMzYyXkEyXkFqcGdeQXVyNzg5OTk2OA@@._V1_FMjpg_UX1000_.jpg
??,Fencing,1892,??|Sport,4.2,https://m.media-amazon.com/images/M/MV5BNzZlZTYyZWMtZmRlNC00MDFkLWE3NGQtNmQ0ZDI0NjMxNDM2XkEyXkFqcGdeQXVyNzg5OTk2OA@@._V1_FMjpg_UX1000_.jpg
