country,title,year,genres,box_office,rate,picture
United States,Passage de Venus,1874,Documentary|Short,"123,000",6.8,https://m.media-amazon.com/images/M/MV5BNjlkNmRlNDAtNTQ0NS00YzRjLTkxNWUtMTBlZDYwOTkzMGQ3XkEyXkFqcGdeQXVyMjM0MzAyNTU@._V1_FMjpg_UX1000_.jpg
United States,Sallie Gardner at a Gallop,1878,Documentary|Short,"123,000",7.4,https://m.media-amazon.com/images/M/MV5BMjk0MzM1NDUtMTIyNi00Y2Y3LWEwNzEtMDQ1NmU4YzgzYWU2XkEyXkFqcGdeQXVyMjM3NTU0NTQ@._V1_FMjpg_UX1000_.jpg
United States,Athlete Swinging a Pick,1880,Documentary|Short,"123,000",5.2,https://m.media-amazon.com/images/M/MV5BOTllYzdiYTEtNzFkZC00OTNmLThiZTctOTMwOTE3NjM1MTU0XkEyXkFqcGdeQXVyNzI1ODI4MDU@._V1_FMjpg_UX1000_.jpg
United States,Buffalo Running,1883,Documentary|Short,"123,000",6.2,https://m.media-amazon.com/images/M/MV5BMTFkM2NlZGYtYjUzYS00ODhmLTkyNTctNGU5OTBlM2M4MGUyXkEyXkFqcGdeQXVyOTUzMjk0NDE@._V1_FMjpg_UX1000_.jpg
United States,Man Walking Around a Corner,1887,Documentary|Short,"123,000",5.2,https://m.media-amazon.com/images/M/MV5BYTM3OWM5MzEtY2VkYS00YjliLWJkZTQtNGM3OGY2MGY2YTM4XkEyXkFqcGdeQXVyNDk0MDg4NDk@._V1_FMjpg_UX1000_.jpg
United States,Accordion Player,1888,Documentary|Short,"123,000",5.5,https://m.media-amazon.com/images/M/MV5BZTdkMTBjZTctNjFiMy00ZWJmLTljMjctMGZkYmMyYzJkNGMyXkEyXkFqcGdeQXVyMjM0MzAyNTU@._V1_FMjpg_UX1000_.jpg
United States,Traffic Crossing Leeds Bridge,1888,Documentary|Short,"123,000",6.6,https://m.media-amazon.com/images/M/MV5BYjZhZjA1MjEtMjdmMC00NzU5LTkyYWItNjQ0MzgyNGViMmJmXkEyXkFqcGdeQXVyNDExODQzNDA@._V1_FMjpg_UX1000_.jpg
United States,Roundhay Garden Scene,1888,Documentary|Short,"123,000",7.3,https://m.media-amazon.com/images/M/MV5BOGE3YjczMTQtZTAwNi00Y2ZkLWIxZjYtZGFkMWY2ZTM3YTU5XkEyXkFqcGdeQXVyNzg5OTk2OA@@._V1_FMjpg_UX1000_.jpg
United States,Pferd und Reiter Springen ?ber ein Hindernis,1888,Short,"123,000",5.7,https://m.media-amazon.com/images/M/MV5BYjc2MDk4NGItNjgyOC00MWY5LTk5NWYtYzA1YTkwMGVmOTMxL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNzg5OTk2OA@@._V1_FMjpg_UX1000_.jpg
United States,"Monkeyshines, No. 1",1890,Documentary|Short,"123,000",4.9,https://m.media-amazon.com/images/M/MV5BZGE4OWI5NmEtYjRjNi00NTBjLThhMTItYmI1ZGY1YmFkZTY5XkEyXkFqcGdeQXVyNzg5OTk2OA@@._V1_FMjpg_UX1000_.jpg
